prob,persist,stop,tp,vol_thr,atr_max,ret_pct,win_rate_pct,trades,sharpe,max_dd_pct
0.55,1,2.0,2.5,1.0,0.7,2.119640771157738,55.10204081632652,50,1.8178492393317318,3.7513927192285745
0.55,1,2.0,2.5,1.0,0.8,4.228041994148768,58.82352941176471,52,3.36953225741736,2.9298336529041458
0.55,1,2.0,2.5,1.0,0.9,4.111295241859625,59.61538461538461,53,3.22423228667183,2.711962830201131
0.55,1,2.0,2.5,1.05,0.7,2.119640771157738,55.10204081632652,50,1.8178492393317318,3.7513927192285745
0.55,1,2.0,2.5,1.05,0.8,4.695789789711591,60.78431372549019,52,3.7496047045220338,2.5683077474143445
0.55,1,2.0,2.5,1.05,0.9,4.111295241859625,59.61538461538461,53,3.22423228667183,2.711962830201131
0.55,1,2.0,2.5,1.1,0.7,0.9656465566369343,51.11111111111111,46,0.9230161661226083,3.5258360450186155
0.55,1,2.0,2.5,1.1,0.8,3.5126840248492774,57.446808510638306,48,2.9644926825616724,3.0987044863962643
0.55,1,2.0,2.5,1.1,0.9,2.93479450734766,56.25,49,2.4353447129700223,3.0987044863963087
0.55,1,2.0,2.5,1.2,0.7,1.9383869033574141,56.41025641025641,40,1.7031124049426865,3.553474312089644
0.55,1,2.0,2.5,1.2,0.8,3.1267019252214867,58.536585365853654,42,2.60546950641418,3.5534743120896772
0.55,1,2.0,2.5,1.2,0.9,2.55096726450299,57.14285714285714,43,2.0980482730489647,3.5534743120897105
0.55,1,2.0,3.0,1.0,0.7,2.6230888472388303,51.11111111111111,46,2.072739239866074,3.5453581376041488
0.55,1,2.0,3.0,1.0,0.8,3.357588799072375,51.11111111111111,46,2.4922687403368635,3.713446342836302
0.55,1,2.0,3.0,1.0,0.9,3.2418170491108844,52.17391304347826,47,2.3779866999329893,3.497334313260614
0.55,1,2.0,3.0,1.05,0.7,2.6230888472388303,51.11111111111111,46,2.072739239866074,3.5453581376041488
0.55,1,2.0,3.0,1.05,0.8,3.821430231670231,53.333333333333336,46,2.8305839144216933,3.281337839656573
0.55,1,2.0,3.0,1.05,0.9,3.2418170491108844,52.17391304347826,47,2.3779866999329893,3.497334313260614
0.55,1,2.0,3.0,1.1,0.7,2.455303786244989,51.11111111111111,46,1.9701719292956976,3.5258360450186155
0.55,1,2.0,3.0,1.1,0.8,3.651685925592685,53.333333333333336,46,2.740041015873299,3.417015685004343
0.55,1,2.0,3.0,1.1,0.9,3.0730203897498587,52.17391304347826,47,2.283952341518209,3.497334313260614
0.55,1,2.0,3.0,1.2,0.7,3.14714385666357,56.41025641025641,40,2.450615019071268,3.5534743120896994
0.55,1,2.0,3.0,1.2,0.8,3.228656863949908,53.65853658536586,42,2.4239451808292305,3.5534743120897105
