symbol,prob_thresh,persist,atr_stop,atr_tp,ret_pct,win_rate_pct,trades,sharpe,max_dd_pct
BTC,0.5,1,1.5,3.0,-6.998684427760804,37.83783783783784,75,-4.2385941174513055,9.8090145154618
BTC,0.5,1,1.5,4.0,-2.574224227959021,37.5,65,-1.4000704254316363,8.90415713623769
BTC,0.5,1,1.5,5.0,-3.5755984952674402,31.666666666666664,61,-1.9139686658092163,8.904157136237812
BTC,0.5,1,2.0,3.0,-5.506926542759771,42.64705882352941,69,-3.2447711581417877,9.449513031314616
BTC,0.5,1,2.0,4.0,-2.4196772557102175,41.66666666666667,61,-1.2885456514334699,8.830368381568876
BTC,0.5,1,2.0,5.0,-3.5496910704377327,39.285714285714285,57,-1.891423521673509,8.830368381568798
BTC,0.5,1,2.5,3.0,-4.425296533113777,42.857142857142854,57,-2.55265215632377,8.14491345663917
BTC,0.5,1,2.5,4.0,-2.160365014576404,44.0,51,-1.1427757128423655,7.950964153511997
BTC,0.5,1,2.5,5.0,-2.760492490815558,39.130434782608695,47,-1.426214759042277,7.9509641535121744
BTC,0.5,2,1.5,3.0,-6.957430306925339,38.88888888888889,73,-4.198999638692087,9.450767265267235
BTC,0.5,2,1.5,4.0,-3.833698876711822,39.0625,65,-2.175977231655666,9.11964111081468
BTC,0.5,2,1.5,5.0,-4.71691645454666,33.87096774193548,63,-2.5927021188489743,9.119641110814614
BTC,0.5,2,2.0,3.0,-5.973229852543249,43.93939393939394,67,-3.539635016878232,9.56724490535672
BTC,0.5,2,2.0,4.0,-3.532937983087836,43.103448275862064,59,-1.9675244640273557,9.36464833457702
BTC,0.5,2,2.0,5.0,-4.544658253720502,41.07142857142857,57,-2.483204372017702,9.364648334577064
BTC,0.5,2,2.5,3.0,-4.50970028711698,44.44444444444444,55,-2.6051189235648504,7.89081564602947
BTC,0.5,2,2.5,4.0,-2.8428128033995193,45.83333333333333,49,-1.5615777991171107,8.080008486760871
BTC,0.5,2,2.5,5.0,-3.332013689896196,41.30434782608695,47,-1.7632094471794355,8.080008486760937
BTC,0.5,3,1.5,3.0,-7.3389693076727935,38.88888888888889,73,-4.4933790409220915,10.190830424102536
BTC,0.5,3,1.5,4.0,-2.9264652983146178,38.70967741935484,63,-1.629959683648353,8.777073789604085
BTC,0.5,3,1.5,5.0,-3.8328599944731145,33.33333333333333,61,-2.0813548786697655,8.777073789604072
BTC,0.5,3,2.0,3.0,-5.627639347100521,42.1875,65,-3.3566231354555454,9.37180138296979
BTC,0.5,3,2.0,4.0,-2.5400845260508453,41.07142857142857,57,-1.3783523052914448,8.703182095859162
BTC,0.5,3,2.0,5.0,-3.577101890721368,38.88888888888889,55,-1.9277615782400448,8.703182095859162
BTC,0.5,3,2.5,3.0,-5.346424142005157,42.857142857142854,57,-3.1530897460761387,8.601592303702931
BTC,0.5,3,2.5,4.0,-2.6420987856436096,43.75,49,-1.4491017624965274,7.927290716233681
BTC,0.5,3,2.5,5.0,-3.147260966864085,39.130434782608695,47,-1.6652951614093305,7.927290716233648
BTC,0.55,1,1.5,3.0,-6.975418006055256,37.5,73,-4.215991251469145,9.686727424582664
BTC,0.55,1,1.5,4.0,-2.9549219582085007,37.096774193548384,63,-1.6351532840745375,9.159814676577716
BTC,0.55,1,1.5,5.0,-3.846210463305455,31.666666666666664,61,-2.0753616835742483,9.15981467657766
BTC,0.55,1,2.0,3.0,-5.483286923451358,42.42424242424242,67,-3.22405792166958,9.326738503798248
BTC,0.55,1,2.0,4.0,-2.80097888858285,41.37931034482759,59,-1.5208830369531694,9.086233007665268
BTC,0.55,1,2.0,5.0,-3.820375746826643,39.285714285714285,57,-2.052262604378736,9.086233007665056
BTC,0.55,1,2.5,3.0,-4.401386319139222,42.592592592592595,55,-2.533156710567438,8.020370064020621
BTC,0.55,1,2.5,4.0,-2.5426799273623457,43.75,49,-1.3765499623734303,8.209296799167266
BTC,0.55,1,2.5,5.0,-3.0333920275247173,39.130434782608695,47,-1.586348915421142,8.209296799167143
BTC,0.55,2,1.5,3.0,-6.944093032066667,38.88888888888889,73,-4.1940661498104514,9.437787400145181
BTC,0.55,2,1.5,4.0,-3.671128747481378,39.0625,65,-2.0769093424611835,8.966006921742743
BTC,0.55,2,1.5,5.0,-4.555839413790164,33.87096774193548,63,-2.498107538790573,8.966006921742832
BTC,0.55,2,2.0,3.0,-5.959751496542709,43.93939393939394,67,-3.534174431675669,9.554281736831783
BTC,0.55,2,2.0,4.0,-3.369859414448073,43.103448275862064,59,-1.8693235573175992,9.211428332757453
BTC,0.55,2,2.0,5.0,-4.383290008689167,41.07142857142857,57,-2.3887823651265885,9.211428332757542
BTC,0.55,2,2.5,3.0,-4.905218839815085,44.642857142857146,57,-2.852676583184165,8.272329699241364
BTC,0.55,2,2.5,4.0,-2.6785675709875667,45.83333333333333,49,-1.4624422453580848,7.924616787957839
BTC,0.55,2,2.5,5.0,-3.16859545665531,41.30434782608695,47,-1.668612975468278,7.924616787957817
BTC,0.55,3,1.5,3.0,-7.556008974580674,38.23529411764706,69,-4.633543740544128,10.401190184882104
BTC,0.55,3,1.5,4.0,-3.8631006800268763,38.70967741935484,63,-2.2221138038723636,9.657258286589377
BTC,0.55,3,1.5,5.0,-4.760749827310285,33.33333333333333,61,-2.648902399651573,9.657258286589466
BTC,0.55,3,2.0,3.0,-5.848687457275559,41.66666666666667,61,-3.496465412885429,9.584079553127566
BTC,0.55,3,2.0,4.0,-3.4804479877515004,41.07142857142857,57,-1.9642442690642312,9.584079553127545
BTC,0.55,3,2.0,5.0,-4.507459461957952,38.88888888888889,55,-2.4941633859323202,9.584079553127612
BTC,0.55,3,2.5,3.0,-5.56813094175006,42.30769230769231,53,-3.2920894795074584,8.815674532382012
BTC,0.55,3,2.5,4.0,-3.5814779402901897,43.75,49,-2.0383207560234493,8.815674532381978
BTC,0.55,3,2.5,5.0,-4.0817659529343135,39.130434782608695,47,-2.2280733274306277,8.815674532381967
BTC,0.6,1,1.5,3.0,-5.873914403560154,38.57142857142858,71,-3.5626054608381077,8.617328423129278
BTC,0.6,1,1.5,4.0,-3.072153324837179,37.096774193548384,63,-1.7082896448897555,9.08626188924102
BTC,0.6,1,1.5,5.0,-3.962365145040625,31.666666666666664,61,-2.1455321050851146,9.086261889241099
BTC,0.6,1,2.0,3.0,-4.3641150043924215,43.75,65,-2.5617208009184633,8.067734866959809
BTC,0.6,1,2.0,4.0,-2.918396219886732,41.37931034482759,59,-1.5931347932843765,9.01262064166487
BTC,0.6,1,2.0,5.0,-3.9365616371423884,39.285714285714285,57,-2.1221833598848683,9.01262064166497
BTC,0.6,1,2.5,3.0,-3.723456742091602,44.44444444444444,55,-2.145364561538299,7.1809744269134885
BTC,0.6,1,2.5,4.0,-2.6604092862399953,43.75,49,-1.4492227067987895,8.134974382849302
BTC,0.6,1,2.5,5.0,-3.150528601571989,39.130434782608695,47,-1.65583443755418,8.134974382849268
BTC,0.6,2,1.5,3.0,-7.802944561732128,35.294117647058826,69,-4.760703096763603,10.273623591050074
BTC,0.6,2,1.5,4.0,-4.9206061410698165,35.9375,65,-2.8705676142136625,9.758808681625908
BTC,0.6,2,1.5,5.0,-5.793841265694633,30.64516129032258,63,-3.2585133760935263,9.827837842784714
BTC,0.6,2,2.0,3.0,-6.827687922170722,40.32258064516129,63,-4.095991679242601,10.002092753389856
BTC,0.6,2,2.0,4.0,-4.623244558808359,39.6551724137931,59,-2.6537090366529923,10.002092753389702
BTC,0.6,2,2.0,5.0,-5.623529991053832,37.5,57,-3.1467322687095987,10.002092753389825
BTC,0.6,2,2.5,3.0,-5.7828879843517145,40.38461538461539,53,-3.4110146015590943,8.726487862531817
BTC,0.6,2,2.5,4.0,-3.940919430306089,41.66666666666667,49,-2.2504698076226353,8.726487862531751
BTC,0.6,2,2.5,5.0,-4.424591186628801,36.95652173913043,47,-2.421393628350203,8.72648786253183
BTC,0.6,3,1.5,3.0,-9.009171330853583,37.142857142857146,71,-5.611878446427224,11.809628052459487
BTC,0.6,3,1.5,4.0,-5.374313270385123,37.5,65,-3.1827093059303713,10.83811961390646
BTC,0.6,3,1.5,5.0,-6.257851928327707,32.25806451612903,63,-3.5673847384289643,10.83811961390644
BTC,0.6,3,2.0,3.0,-6.615813644326152,40.0,61,-3.9989638396158376,10.0794639248166
BTC,0.6,3,2.0,4.0,-4.266870119438715,39.285714285714285,57,-2.4568638095524022,10.079463924816734
BTC,0.6,3,2.0,5.0,-5.285513708216749,37.03703703703704,55,-2.969247127917383,10.079463924816533
BTC,0.6,3,2.5,3.0,-6.337543047543425,40.38461538461539,53,-3.790707893827829,9.404097510265853
BTC,0.6,3,2.5,4.0,-4.367076899998279,41.66666666666667,49,-2.5335858057224003,9.315268957306365
BTC,0.6,3,2.5,5.0,-4.86328866532083,36.95652173913043,47,-2.700646211121058,9.315268957306344
SOL,0.5,1,1.5,3.0,-5.600247565831373,36.36363636363637,67,-2.402880022234156,13.274971280636816
SOL,0.5,1,1.5,4.0,-4.356390443943258,32.758620689655174,59,-1.7444116080829017,11.90568094649127
SOL,0.5,1,1.5,5.0,-2.923332267135026,31.48148148148148,55,-1.045838808455561,12.257913678553823
SOL,0.5,1,2.0,3.0,-0.23488772087183474,44.827586206896555,59,0.09794528633093612,10.184812811764065
SOL,0.5,1,2.0,4.0,-4.595905267999257,32.608695652173914,47,-1.7540529352377654,12.305741061759434
SOL,0.5,1,2.0,5.0,-2.927861029277179,32.608695652173914,47,-1.0138102744252584,12.30574106175929
SOL,0.5,1,2.5,3.0,0.7023430479756732,47.82608695652174,47,0.5065442572990266,8.982821114467999
SOL,0.5,1,2.5,4.0,-1.080289634700038,35.294117647058826,35,-0.24098864417851928,11.132133630274977
SOL,0.5,1,2.5,5.0,0.2810604359425595,35.294117647058826,35,0.3277740317910569,11.132133630274833
SOL,0.5,2,1.5,3.0,-6.315326140213761,36.36363636363637,67,-2.868941318027799,12.992974466847517
SOL,0.5,2,1.5,4.0,-4.883817017076675,32.758620689655174,59,-2.0298592115269662,11.693270066901928
SOL,0.5,2,1.5,5.0,-3.641978624281761,31.48148148148148,55,-1.3814726921199387,12.213362573673336
SOL,0.5,2,2.0,3.0,-1.4578520085463453,43.103448275862064,59,-0.4711525812096513,10.135291213449394
SOL,0.5,2,2.0,4.0,-5.130005474812638,32.608695652173914,47,-2.02883005139803,12.257388884342802
SOL,0.5,2,2.0,5.0,-3.654592627515907,32.608695652173914,47,-1.3443165957333403,12.257388884342834
SOL,0.5,2,2.5,3.0,-0.12187886469401388,45.65217391304348,47,0.13676647427351168,8.557051361361378
