symbol,timeframe,prob,persist,rsi_entry,rsi_exit,stop,tp,vol_thr,atr_max,oos_avg_ret_pct,oos_avg_win_rate_pct,oos_avg_trades,oos_avg_sharpe,oos_avg_max_dd_pct,oos_positive_folds,oos_min_trades_fold
BTC,15m,0.5,1,52,45,2.0,2.5,1.0,0.9,-1.8870873114488687,15.277777777777777,11.333333333333334,-5.633817042630379,3.7333063979573775,0,4
BTC,15m,0.5,1,52,45,2.0,2.5,1.0,0.95,-1.8870873114488687,15.277777777777777,11.333333333333334,-5.633817042630379,3.7333063979573775,0,4
BTC,15m,0.5,1,52,45,2.0,2.5,1.03,0.9,-1.8870873114488687,15.277777777777777,11.333333333333334,-5.633817042630379,3.7333063979573775,0,4
BTC,15m,0.5,1,52,45,2.0,2.5,1.03,0.95,-1.8870873114488687,15.277777777777777,11.333333333333334,-5.633817042630379,3.7333063979573775,0,4
BTC,15m,0.5,1,52,45,2.0,3.0,1.0,0.9,-1.80352023113823,23.412698412698408,10.666666666666666,-5.269115203174426,3.733306397957373,1,4
BTC,15m,0.5,1,52,45,2.0,3.0,1.0,0.95,-1.80352023113823,23.412698412698408,10.666666666666666,-5.269115203174426,3.733306397957373,1,4
BTC,15m,0.5,1,52,45,2.0,3.0,1.03,0.9,-1.80352023113823,23.412698412698408,10.666666666666666,-5.269115203174426,3.733306397957373,1,4
BTC,15m,0.5,1,52,45,2.0,3.0,1.03,0.95,-1.80352023113823,23.412698412698408,10.666666666666666,-5.269115203174426,3.733306397957373,1,4
BTC,15m,0.5,1,52,45,2.5,2.5,1.0,0.9,-1.8870873114488687,15.277777777777777,11.333333333333334,-5.633817042630379,3.7333063979573775,0,4
BTC,15m,0.5,1,52,45,2.5,2.5,1.0,0.95,-1.8870873114488687,15.277777777777777,11.333333333333334,-5.633817042630379,3.7333063979573775,0,4
BTC,15m,0.5,1,52,45,2.5,2.5,1.03,0.9,-1.8870873114488687,15.277777777777777,11.333333333333334,-5.633817042630379,3.7333063979573775,0,4
BTC,15m,0.5,1,52,45,2.5,2.5,1.03,0.95,-1.8870873114488687,15.277777777777777,11.333333333333334,-5.633817042630379,3.7333063979573775,0,4
BTC,15m,0.5,1,52,45,2.5,3.0,1.0,0.9,-1.80352023113823,23.412698412698408,10.666666666666666,-5.269115203174426,3.733306397957373,1,4
BTC,15m,0.5,1,52,45,2.5,3.0,1.0,0.95,-1.80352023113823,23.412698412698408,10.666666666666666,-5.269115203174426,3.733306397957373,1,4
BTC,15m,0.5,1,52,45,2.5,3.0,1.03,0.9,-1.80352023113823,23.412698412698408,10.666666666666666,-5.269115203174426,3.733306397957373,1,4
BTC,15m,0.5,1,52,45,2.5,3.0,1.03,0.95,-1.80352023113823,23.412698412698408,10.666666666666666,-5.269115203174426,3.733306397957373,1,4
BTC,15m,0.5,1,55,45,2.0,2.5,1.0,0.9,-1.6246769327151818,17.619047619047617,10.0,-4.999338882389478,3.4774689607732703,0,4
BTC,15m,0.5,1,55,45,2.0,2.5,1.0,0.95,-1.6246769327151818,17.619047619047617,10.0,-4.999338882389478,3.4774689607732703,0,4
BTC,15m,0.5,1,55,45,2.0,2.5,1.03,0.9,-1.6246769327151818,17.619047619047617,10.0,-4.999338882389478,3.4774689607732703,0,4
BTC,15m,0.5,1,55,45,2.0,2.5,1.03,0.95,-1.6246769327151818,17.619047619047617,10.0,-4.999338882389478,3.4774689607732703,0,4
BTC,15m,0.5,1,55,45,2.0,3.0,1.0,0.9,-1.5419677979899775,25.555555555555554,9.333333333333334,-4.6546082142456395,3.4774689607732703,1,4
BTC,15m,0.5,1,55,45,2.0,3.0,1.0,0.95,-1.5419677979899775,25.555555555555554,9.333333333333334,-4.6546082142456395,3.4774689607732703,1,4
BTC,15m,0.5,1,55,45,2.0,3.0,1.03,0.9,-1.5419677979899775,25.555555555555554,9.333333333333334,-4.6546082142456395,3.4774689607732703,1,4
BTC,15m,0.5,1,55,45,2.0,3.0,1.03,0.95,-1.5419677979899775,25.555555555555554,9.333333333333334,-4.6546082142456395,3.4774689607732703,1,4
BTC,15m,0.5,1,55,45,2.5,2.5,1.0,0.9,-1.6246769327151818,17.619047619047617,10.0,-4.999338882389478,3.4774689607732703,0,4
BTC,15m,0.5,1,55,45,2.5,2.5,1.0,0.95,-1.6246769327151818,17.619047619047617,10.0,-4.999338882389478,3.4774689607732703,0,4
BTC,15m,0.5,1,55,45,2.5,2.5,1.03,0.9,-1.6246769327151818,17.619047619047617,10.0,-4.999338882389478,3.4774689607732703,0,4
BTC,15m,0.5,1,55,45,2.5,2.5,1.03,0.95,-1.6246769327151818,17.619047619047617,10.0,-4.999338882389478,3.4774689607732703,0,4
BTC,15m,0.5,1,55,45,2.5,3.0,1.0,0.9,-1.5419677979899775,25.555555555555554,9.333333333333334,-4.6546082142456395,3.4774689607732703,1,4
BTC,15m,0.5,1,55,45,2.5,3.0,1.0,0.95,-1.5419677979899775,25.555555555555554,9.333333333333334,-4.6546082142456395,3.4774689607732703,1,4
BTC,15m,0.5,1,55,45,2.5,3.0,1.03,0.9,-1.5419677979899775,25.555555555555554,9.333333333333334,-4.6546082142456395,3.4774689607732703,1,4
BTC,15m,0.5,1,55,45,2.5,3.0,1.03,0.95,-1.5419677979899775,25.555555555555554,9.333333333333334,-4.6546082142456395,3.4774689607732703,1,4
BTC,15m,0.5,2,52,45,2.0,2.5,1.0,0.9,-1.5072525299272572,3.7037037037037037,5.333333333333333,-6.354317126955697,2.17464243229607,0,0
