timestamp,open,high,low,close,volume,symbol,interval
2025-07-20 15:00:00+00:00,181.02,182.16,180.25,182.12,105637.18,SOL,1h
2025-07-20 16:00:00+00:00,182.13,183.46,181.76,182.15,275363.88,SOL,1h
2025-07-20 17:00:00+00:00,182.15,182.15,180.32,180.73,386483.52,SOL,1h
2025-07-20 18:00:00+00:00,180.74,182.68,180.42,182.39,143415.93,SOL,1h
2025-07-20 19:00:00+00:00,182.39,183.83,181.78,182.13,267301.74,SOL,1h
2025-07-20 20:00:00+00:00,182.14,182.42,180.63,181.43,233446.51,SOL,1h
2025-07-20 21:00:00+00:00,181.44,182.51,180.82,182.51,146587.12,SOL,1h
2025-07-20 22:00:00+00:00,182.51,182.58,178.0,180.66,368191.85,SOL,1h
2025-07-20 23:00:00+00:00,180.67,181.87,179.52,181.62,298859.04,SOL,1h
2025-07-21 00:00:00+00:00,181.61,181.9,178.57,180.38,195399.79,SOL,1h
2025-07-21 01:00:00+00:00,180.42,180.71,178.44,180.31,119489.79,SOL,1h
2025-07-21 02:00:00+00:00,180.3,184.89,180.27,184.59,392414.05,SOL,1h
2025-07-21 03:00:00+00:00,184.59,187.29,184.17,186.97,490365.89,SOL,1h
2025-07-21 04:00:00+00:00,186.96,187.5,185.9,185.9,241160.78,SOL,1h
2025-07-21 05:00:00+00:00,185.9,189.28,185.22,188.58,319116.63,SOL,1h
2025-07-21 06:00:00+00:00,188.58,190.0,188.19,189.5,480127.77,SOL,1h
2025-07-21 07:00:00+00:00,189.5,191.26,189.41,190.31,238471.19,SOL,1h
2025-07-21 08:00:00+00:00,190.32,192.29,189.94,191.05,846490.91,SOL,1h
2025-07-21 09:00:00+00:00,191.05,192.04,190.32,191.85,287132.06,SOL,1h
2025-07-21 10:00:00+00:00,191.85,192.26,191.0,191.5,298897.87,SOL,1h
2025-07-21 11:00:00+00:00,191.46,193.4,190.97,191.69,237597.13,SOL,1h
2025-07-21 12:00:00+00:00,191.68,192.1,190.53,191.79,212777.34,SOL,1h
2025-07-21 13:00:00+00:00,191.79,193.65,190.5,192.63,359390.91,SOL,1h
2025-07-21 14:00:00+00:00,192.63,195.65,191.73,195.49,496142.45,SOL,1h
2025-07-21 15:00:00+00:00,195.5,199.55,195.34,196.99,961883.59,SOL,1h
2025-07-21 16:00:00+00:00,197.0,197.21,193.49,195.44,704653.07,SOL,1h
2025-07-21 17:00:00+00:00,195.52,196.93,194.67,196.34,484360.97,SOL,1h
2025-07-21 18:00:00+00:00,196.34,197.44,193.58,193.89,398473.55,SOL,1h
2025-07-21 19:00:00+00:00,193.88,195.67,193.09,194.72,751296.41,SOL,1h
