timestamp,open,high,low,close,volume,symbol,interval
2026-01-19 16:15:00+00:00,1.585,1.5944,1.5849,1.5934,10746.88,APT,15m
2026-01-19 16:30:00+00:00,1.5911,1.5953,1.5896,1.5953,25826.63,APT,15m
2026-01-19 16:45:00+00:00,1.5983,1.6051,1.5939,1.6051,27318.34,APT,15m
2026-01-19 17:00:00+00:00,1.6032,1.605,1.5937,1.6034,14374.47,APT,15m
2026-01-19 17:15:00+00:00,1.602,1.6087,1.602,1.6063,14649.21,APT,15m
2026-01-19 17:30:00+00:00,1.6061,1.6061,1.5936,1.5989,3315.4,APT,15m
2026-01-19 17:45:00+00:00,1.5974,1.6011,1.5966,1.5983,3933.61,APT,15m
2026-01-19 18:00:00+00:00,1.5999,1.601,1.5961,1.601,5479.89,APT,15m
2026-01-19 18:15:00+00:00,1.5985,1.6011,1.5929,1.593,3164.23,APT,15m
2026-01-19 18:30:00+00:00,1.5939,1.597,1.5908,1.597,10641.22,APT,15m
2026-01-19 18:45:00+00:00,1.5961,1.6064,1.5961,1.6064,11353.15,APT,15m
2026-01-19 19:00:00+00:00,1.6064,1.6104,1.6052,1.6089,20945.45,APT,15m
2026-01-19 19:15:00+00:00,1.6096,1.6279,1.6096,1.6189,5934.76,APT,15m
2026-01-19 19:30:00+00:00,1.6178,1.619,1.6137,1.6178,4865.24,APT,15m
2026-01-19 19:45:00+00:00,1.62,1.6216,1.612,1.6141,7482.22,APT,15m
2026-01-19 20:00:00+00:00,1.616,1.6256,1.616,1.6172,21189.7,APT,15m
2026-01-19 20:15:00+00:00,1.6156,1.6192,1.6077,1.6108,7796.72,APT,15m
2026-01-19 20:30:00+00:00,1.6084,1.6084,1.6035,1.6058,932.05,APT,15m
2026-01-19 20:45:00+00:00,1.6034,1.6132,1.6032,1.613,12872.96,APT,15m
2026-01-19 21:00:00+00:00,1.616,1.6186,1.6037,1.6055,8895.09,APT,15m
2026-01-19 21:15:00+00:00,1.6041,1.6069,1.6028,1.6069,65150.91,APT,15m
2026-01-19 21:30:00+00:00,1.6075,1.6095,1.6025,1.6051,12502.43,APT,15m
2026-01-19 21:45:00+00:00,1.6048,1.6053,1.5965,1.604,10956.85,APT,15m
2026-01-19 22:00:00+00:00,1.6032,1.6059,1.5975,1.6013,14524.08,APT,15m
2026-01-19 22:15:00+00:00,1.6014,1.6042,1.5986,1.6041,4451.63,APT,15m
2026-01-19 22:30:00+00:00,1.6018,1.603,1.5931,1.5954,9332.11,APT,15m
2026-01-19 22:45:00+00:00,1.5953,1.5956,1.5911,1.5915,9143.64,APT,15m
2026-01-19 23:00:00+00:00,1.5933,1.602,1.5933,1.596,4973.0,APT,15m
2026-01-19 23:15:00+00:00,1.5936,1.6032,1.5909,1.6032,3209.61,APT,15m
2026-01-19 23:30:00+00:00,1.6038,1.6139,1.6038,1.6107,7411.5,APT,15m
2026-01-19 23:45:00+00:00,1.6091,1.613,1.6076,1.6102,3169.18,APT,15m
2026-01-20 00:00:00+00:00,1.6109,1.6119,1.6045,1.6108,34923.67,APT,15m
2026-01-20 00:15:00+00:00,1.6126,1.6145,1.6059,1.6083,6142.87,APT,15m
2026-01-20 00:30:00+00:00,1.6105,1.6124,1.6048,1.6079,2102.17,APT,15m
2026-01-20 00:45:00+00:00,1.606,1.6103,1.6031,1.6042,3628.42,APT,15m
2026-01-20 01:00:00+00:00,1.6039,1.6059,1.5979,1.6036,11374.44,APT,15m
2026-01-20 01:15:00+00:00,1.6029,1.6166,1.6026,1.6152,5340.93,APT,15m
